posicao_papel,ticker,horizonte,janela,episodios,protecao,prot_lo,taxa_base,passa_barra,corte,divisoes_usadas,divisoes_oferecidas,pregoes_medidos,inicio_medido,fim_medido
1,EGIE3,3,93,58,0.9827586206896551,0.9076389478576248,0.5153344602752958,True,-0.9043094051071042,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,94,58,0.9827586206896551,0.9076389478576248,0.5153344602752958,True,-0.9030199853930162,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,95,56,0.9821428571428571,0.9044740973676604,0.5153344602752958,True,-0.9006687877184154,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,98,56,0.9821428571428571,0.9044740973676604,0.5153344602752958,True,-0.8987070936953357,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,97,55,0.9818181818181818,0.9028089842507466,0.5153344602752958,True,-0.8974221996003118,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,96,55,0.9818181818181818,0.9028089842507466,0.5153344602752958,True,-0.8975265719284715,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,100,55,0.9818181818181818,0.9028089842507466,0.5153344602752958,True,-0.8986987624435384,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,103,55,0.9818181818181818,0.9028089842507466,0.5153344602752958,True,-0.8962934267834943,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,111,54,0.9814814814814815,0.9010848404921488,0.5153344602752958,True,-0.8900613055995316,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,104,54,0.9814814814814815,0.9010848404921488,0.5153344602752958,True,-0.8961093844411678,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,112,54,0.9814814814814815,0.9010848404921488,0.5153344602752958,True,-0.8906279653100144,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,102,54,0.9814814814814815,0.9010848404921488,0.5153344602752958,True,-0.8965997935326592,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,99,54,0.9814814814814815,0.9010848404921488,0.5153344602752958,True,-0.8970335899044409,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,105,53,0.9811320754716981,0.8992984732308538,0.5153344602752958,True,-0.8982259116565332,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,109,53,0.9811320754716981,0.8992984732308538,0.5153344602752958,True,-0.883403922090416,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,110,53,0.9811320754716981,0.8992984732308538,0.5153344602752958,True,-0.8831233452725553,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,114,52,0.9807692307692307,0.8974464553478823,0.5153344602752958,True,-0.8832985819714769,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,108,52,0.9807692307692307,0.8974464553478823,0.5153344602752958,True,-0.8909354167360031,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,106,52,0.9807692307692307,0.8974464553478823,0.5153344602752958,True,-0.8958779211253987,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,113,52,0.9807692307692307,0.8974464553478823,0.5153344602752958,True,-0.8906784979747434,4,4,4141,2010-01-04,2026-09-01
1,EGIE3,3,107,52,0.9807692307692307,0.8974464553478823,0.5153344602752958,True,-0.8955119872490362,4,4,4141,2010-01-04,2026-09-01
