tickers
BOVA11
VALE3
PETR4
BBDC4
BBAS3
ITUB4
NATU3
SMAL11
BRAV3
PRIO3
B3SA3
ITSA4
BPAC11
CSNA3
EGIE3
EMBJ3
WEGE3
ASAI3
MGLU3
MRVE3
CSAN3
BBSE3
SUZB3
SBSP3
CMIN3
AXIA3
RENT3
LREN3
CYRE3
IBOV11
ROXO34
USIM5
AZZA3
ABEV3
MBRF3
GGBR4
BRAP4
BEEF3
CXSE3
CVCB3
COGN3
ENEV3
HAPV3
CMIG4
BRKM5
PETR3
EQTL3
SANB11
YDUQ3
VAMO3
IRBR3
VBBR3
KLBN11
TAEE11
RADL3
GOAU4
BBDC3
RECV3
UGPA3
DIRR3
ALOS3
SLCE3
RDOR3
JHSF3
CEAB3
RAIL3
TOTS3
CSMG3
ISAE4
POMO4
